VCC,T15
VCC,K14
VCC,T14
VCC,K13
VCC,T13
VCC,K12
VCC,T12
VCC,K11
VCC,T11
VCC,L10
VCC,M10
VCC,N10
VCC,P10
VCC,R10
VCC,T10
VCCAUX,K19
VCCAUX,T19
VCCAUX,W19
VCCAUX,H17
VCCAUX,H14
VCCAUX,H11
VCCAUX,L8
VCCAUX,T8
VCCAUX,W8
VCCIO0,H13
VCCIO0,H12
VCCIO0,H10
VCCIO1,H18
VCCIO1,H16
VCCIO1,H15
VCCIO2,J19
VCCIO2,L19
VCCIO2,M19
VCCIO2,N19
VCCIO3,P19
VCCIO3,R19
VCCIO3,U19
VCCIO4,V19
VCCIO4,V18
GND,AC24
GND,AD24
GND,AE24
GND,AF24
GND,AB23
GND,AB22
GND,AE22
GND,AB21
GND,AC21
GND,AD21
GND,AE21
GND,AA20
GND,AE19
GND,AA18
GND,AB18
GND,AC18
GND,AD18
GND,AE18
GND,AA17
GND,AE16
GND,AA15
GND,AB15
GND,AC15
GND,AD15
GND,AE15
GND,AA14
GND,AB14
GND,AA13
GND,AB13
GND,AE13
GND,AA12
GND,AB12
GND,AC12
GND,AD12
GND,AE12
GND,AA10
GND,AE10
GND,AA9
GND,AB9
GND,AC9
GND,AD9
GND,AE9
GND,AA7
GND,AE7
GND,AB6
GND,AC6
GND,AD6
GND,AE6
GND,AF5
GND,AC11
GND,AB10
GND,AC10
GND,AC8
GND,AB7
GND,AC7
GND,AB20
GND,AC20
GND,AC19
GND,AB17
GND,AC17
GND,AC16
GND,AC14
GND,AC13
GND,AC23
GND,AC22
VCCIO8,V11
VCCIO8,V10
VCCIO6,P8
VCCIO6,R8
VCCIO6,U8
VCCIO6,V8
VCCIO7,K8
VCCIO7,M8
VCCIO7,N8
NC,F18
NC,F17
NC,C15
NC,D15
NC,F15
NC,F14
NC,F13
NC,C12
NC,D12
NC,F12
NC,F10
NC,F9
NC,F8
NC,AA5
NC,AA4
NC,AA3
